CITY,Total Pop,HL%,HL,PERCENTWIN,TURNOUT,PERCENTWIN NORMALIZED,ELXNYR,DIST,BEFORE
0,380.8113,12.99641056,0,66.91729323,57.19008264,113.958431,2014,0,1
0,1154.7126,8.180624339,0,60.52249637,45.07042254,103.0682563,2014,0,1
0,56,8.928571429,0,61.29032258,60.60606061,104.3758446,2014,0,1
0,51.2044,55.05933084,1,70.58823529,44.89795918,120.209951,2014,0,1
0,71.6012,4.195739736,0,72.34042553,57.26495726,123.193886,2014,0,1
0,491.512,84.57579876,1,51.78571429,34.18803419,88.18974085,2014,0,1
0,33.7928,9.502911863,0,57.05521472,59.09090909,97.1635647,2014,0,1
0,68.7532,3.649284688,0,0,,0,2014,0,1
0,141.7015,20.60161678,0,83.78378378,59.45945946,142.6816311,2014,0,1
1,249.273,18.94601501,0,49.1,55.7,99.6,2018,1,0
1,1449,72.73982057,1,47.5,66.4,96.4,2018,1,0
1,4967,77.1693175,1,52.1,57.4,105.8,2018,1,0
1,5285.2305,94.18619491,1,54.4,58.4,110.3,2018,1,0
1,3265.5062,62.83608342,1,49,60.5,99.5,2018,1,0
1,2759,60.78289235,1,45.9,65.7,93.1,2018,1,0
1,2195.5521,54.35472016,1,47.4,62,96.3,2018,1,0
1,2206,55.62103354,1,48.6,57.9,98.6,2018,1,0
1,3372,68.92052195,1,51.7,53.8,104.9,2018,1,0
1,3847.6884,67.88651597,1,31.4,55.3,91.8,2018,1,0
1,1313.8481,23.24183443,0,34.8,59.1,101.6,2018,1,0
1,1879.142,40.99134073,0,35.5,63,103.8,2018,1,0
1,2587,33.35910321,0,36.4,62.8,106.4,2018,1,0
1,2118,43.81491974,0,34.3,63,100.3,2018,1,0
1,1924.1902,41.59353893,0,36.2,61.3,105.8,2018,1,0
1,752.029,41.94625473,0,31.6,58.3,92.5,2018,1,0
1,2226.1535,42.88812519,0,36.5,57.5,106.8,2018,1,0
1,2050.6265,33.63091719,0,33.7,55.5,98.5,2018,1,0
1,1727,53.03995368,1,38.5,55.1,112.5,2018,1,0
1,480.0792,35.72535532,0,42.4,58.4,123.8,2018,1,0
1,552.056,46.08242642,0,32.8,55.7,96,2018,1,0
1,3221,57.28034772,1,35.7,60.2,104.3,2018,1,0
1,1254.0696,33.37182402,0,36.2,59.6,105.7,2018,1,0
1,2745.58,53.02185695,1,28.9,52.5,84.4,2018,1,0
1,2032.9304,42.47534003,0,30,56,87.7,2018,1,0
1,1592.4199,21.69490597,0,41.3,74.5,103.5065723,2018,1,0
1,1826.7344,10.42446017,0,41.9,74.2,105.0733203,2018,1,0
1,1511.736,12.72866426,0,41.3,75.7,103.6996644,2018,1,0
1,1199,19.01584654,0,44.4,79.4,111.4093637,2018,1,0
1,1189.7261,10.31655942,0,52.4,78.9,131.4551934,2018,1,0
1,1365,21.39194139,0,43.1,76.1,108.2372568,2018,1,0
1,942.3923,11.89296644,0,42.2,78,105.8038822,2018,1,0
1,1433.892,13.1921372,0,34.3,77.2,85.97679219,2018,1,0
1,1684.88,19.33573904,0,40.8,75.2,102.4536112,2018,1,0
1,1233.1297,8.050637334,0,42.4,77.1,106.4669327,2018,1,0
1,826.8199,17.20545188,0,44.7,78.5,112.135826,2018,1,0
1,1216.4879,12.45901418,0,40.6,77.6,101.9089501,2018,1,0
1,1680.9301,16.0368001,0,35.6,73.1,89.34938894,2018,1,0
1,1829.1564,15.09748428,0,39.6,70.9,99.32703486,2018,1,0
1,1192.8198,12.52739936,0,35.2,73,88.27438268,2018,1,0
1,877,20.86659065,0,39.9,73.9,99.99406222,2018,1,0
